Nombre;Muestra;Cod. Hex.;R;G;B;H;S;V
Habano;;#844E34;132;78;52;20°;61%;52%
Herrumbre;;#A2522B;162;82;43;20°;73%;64%
Kalua;;#B78E5B;183;142;91;33°;50%;71%
Latón;;#AB9144;171;145;68;45°;60%;67%
León;;#BC8648;188;134;72;32°;62%;74%
Marrón o café;;#6F4E37;111;78;55;25°;50%;44%
Marrón;;#804000;128;64;0;30°;100%;50%
Marrón;;#A05000;160;80;0;30°;100%;63%
Marrón cuero;;#97572B;151;87;43;24°;72%;59%
Marrón dorado;;#996515;153;101;21;36°;86%;60%
Miel;;#D29340;210;147;64;34°;70%;82%
Nogal;;#5D432C;93;67;44;28°;53%;36%
Pardo ocre;;#955F20;149;95;32;32°;79%;58%
Pardo verdoso;;#826C34;130;108;52;43°;60%;51%
Rojo indio;;#882D17;136;45;23;12°;83%;53%
Secuoya;;#8A5754;138;87;84;3°;39%;54%
Sepia;;#663B2A;102;59;42;17°;59%;40%
Siena;;#C58A3E;197;138;62;34°;69%;77%
Amarillo (web) (sRGB) (o Amarillo Hansa claro);;#FFFF00;255;255;0;60°;100%;100%
Amarillo;;#FFE900;255;233;0;55°;100%;100%
Ámbar o Amarillo naranja (sRGB);;#FFBF00;255;191;0;45°;100%;100%
Aureolina o amarillo de cobalto;;#FFE661;255;230;97;51°;62%;100%
Amarillo Hansa medio;;#FFDF00;255;233;0;52°;100%;100%
Amarillo Hansa oscuro;;#FCC300;252;195;0;46°;100%;99%
Amarillo Nápoles;;#ECCD6A;236;205;106;46°;55%;93%
Amarillo Nápoles oscuro;;#FFC94D;225;201;77;42°;70%;100%
Amarillo Nápoles claro;;#FFF6AD;225;246;173;53°;32%;100%
Amarillo Nápoles rojizo;;#F9BDA1;249;189;161;19°;35%;98%
Amarillo claro (sRGB);;#FFFF80;255;255;128;60°;50%;100%
Crema (ámbar claro) (sRGB);;#FFDF80;255;223;128;45°;50%;100%
Crema;;#FFF0C9;255;240;201;43°;21%;100%
Icterina;;#FFF65B;255;240;201;43°;21%;100%
Junquillo;;#EFD52E;239;213;46;52°;81%;94%
Limón;;#D9E542;217;229;66;64°;71%;90%
Limón (inespecífico);;#F5F35B;245;243;91;59°;63%;96%
Amarillo limón;;#FFF83B;255;248;59;58°;77%;100%
Dorado o oro (ámbar grisáceo) (sRGB);;#BF9F40;191;159;64;45°;67%;75%
Oro;;#E7AE18;231;174;24;43°;90%;91%
Amarillo melón;;#F4A900;244;169;0;42°;100%;96%
Verde amarillo o chartreuse (web) (sRGB);;#80FF00;128;255;0;90°;100%;100%
Amarillo verdoso o lima (sRGB);;#BFFF00;191;255;0;75°;100%;100%
Amarillo verdoso;;#DED700;222;215;0;58°;100%;87%
Verde amarillo;;#C6CE00;198;206;0;62°;100%;81%
Verde amarillento;;#75B313;117;179;19;83°;89%;70%
Verde oliva u oliva (web) (amarillo oscuro) (sRGB);;#808000;128;128;0;60°;100%;50%
Verde oliva;;#86895D;134;137;93;64°;32%;54%
Té verde;;#CFFDAF;207;253;175;95°;31%;99%
Chartreuse;;#B1B864;177;184;100;65°;46%;72%
Verde amarillo;;#C6CE00;198;206;0;62°;100%;81%
Verde manzana;;#8DB600;141;182;0;74°;100%;71%
Verde amarillento;;#75B313;117;179;19;83°;89%;70%
Palta o aguacate;;#568203;86;130;3;81°;98%;51%
Espinaca;;#4A5D23;74;93;35;80°;62%;36%
Verde (web) (sRGB);;#00FF00;0;255;0;120°;100%;100%
Verde;;#009150;0;145;80;153°;100%;57%
Esmeralda;;#009975;0;153;117;166°;100%;60%
Verde esmeralda (pictórico);;#00554E;0;85;78;175°;100%;33%
Verde ceniza (específico);;#5F7F7A;95;127;122;171°;25%;50%
Verde ceniza (pictórico);;#009872;0;152;114;165°;100%;60%
Verde Hooker 1;;#44944A;68;148;74;125°;54%;58%
Verde Hooker 2;;#3B7861;59;120;97;157°;51%;47%
Verde primavera;;#7E9F2E;126;159;46;78°;71%;62%
Verde Veronese;;#009B7D;0;155;125;168°;100%;61%
Viridián (específico);;#007F5C;0;127;92;163°;100%;50%
Viridián (inespecífico);;#007F66;0;127;102;168°;100%;50%
Verde menta;;#ACF6C8;172;246;200;143°;30%;96%
Verde agua;;#87E79E;135;231;158;134°;42%;91%
Verde cian, menta, verde primavera, o verde agua (sRGB);;#00FF80;0;255;128;150°;100%;100%
Verde cian;;#00FF99;0;255;153;156°;100%;100%
Esmeralda claro;;#3FD8AA;63;216;170;162°;66%;55%
Menta o glauco;;#81C2AE;129;194;174;162°;34%;76%
Turquesa;;#5DC1B9;93;193;185;175°;52%;76%
Cardenillo o verdín;;#43B3AE;67;179;174;177°;46%;48%
Verde irlandés;;#40C575;64;197;117;144°;68%;77%
Verde turquesa (autos);;#49B675;73;182;117;144°;60%;71%
Jade;;#00A86B;0;168;107;159°;100%;66%
Verde persa;;#00A693;0;166;147;135°;75%;60%
Azul verde;;#009C8C;0;156;140;174°;100%;61%
Verde azulado;;#009A79;0;154;121;167°;100%;60%
Verde trébol;;#009E60;0;158;96;156°;100%;62%
Verde mar;;#2E8B57;46;139;87;146°;67%;55%
Cerceta o teal;;#317874;49;120;116;177°;59%;47%
Verde pino;;#1B7677;27;118;119;181°;77%;47%
Verde botella;;#1B4D3E;27;77;62;162°;65%;30%
Verde petróleo;;#173F35;23;63;53;165°;63%;25%
Verde claro o menta;;#98FF98;152;255;152;120°;40%;100%
Verde pastel;;#77DD77;119;221;119;120°;46%;87%
Malaquita;;#0BDA51;11;218;81;140°;95%;85%
Verde loro;;#52B830;82;184;48;105°;74%;72%
Verde bosque;;#228B22;34;139;34;120°;76%;55%
Verde oscuro (sRGB);;#008000;0;128;0;120°;100%;50%
Verde oscuro (web);;#006400;0;100;0;120°;100%;39%
Verde oscuro (autos);;#1B4125;27;65;37;136°;58%;25%
Pistacho;;#93C572;147;197;114;96°;42%;77%
Verde helecho;;#71BC78;113;188;120;126°;44%;74%
Verde musgo;;#8A9A5B;138;154;91;75°;41%;60%
Verde ruso;;#679267;103;146;103;120°;30%;57%
Musgo;;#51794B;81;121;75;112°;38%;47%
Verde hierba u hoja;;#35682D;53;104;45;112°;57%;41%
Porráceo o verdinegro;;#245338;34;83;56;146°;57%;33%
Cian o acua (web) (sRGB);;#00FFFF;0;255;255;180°;100%;100%
Azul verde, cerceta, o cian oscuro (sRGB);;#008080;0;128;128;180°;100%;50%
Cian;;#00B0F6;0;176;246;197°;100%;96%
Cian (inespecífico);;#00B8F8;0;184;248;196°;100%;91%
Turquesa (cian grisáceo) (sRGB);;#40BFBF;64;191;191;180°;67%;75%
Turquesa;;#5DC1B9;93;193;185;175°;52%;76%
Aguamarina, menta, o verde agua (verde cian claro) (sRGB);;#80FFBF;128;255;191;150°;50%;100%
Aguamarina;;#9FD5D1;159;213;209;176°;25%;84%
Aguamarina oriental;;#ACDCDD;172;220;221;181°;22%;87%
Azul Tiffany;;#81D8D0;129;216;208;174°;40%;85%
Calipso;;#00DDF3;0;221;243;185°;100%;95%
Cardenillo o verdín;;#6DC1AE;109;193;174;166°;44%;76%
Acua;;#66ADA4;102;173;164;172°;41%;68%
Glauco;;#008094;0;128;148;188°;100%;58%
Viridián;;#128385;18;131;133;181°;86%;52%
Azul cerceta;;#367588;54;117;136;194°;60%;53%
Verde cerceta;;#317874;49;120;116;177°;59%;47%
Cerceta;;#004958;0;73;88;190°;100%;35%
Verde azulado;;#009A79;0;154;121;167°;100%;60%
Azul verde;;#009C8C;0;156;140;174°;100%;61%
Azul verdoso;;#009FA8;0;159;168;183°;100%;66%
Bígaro (azul claro) (sRGB);;#8080FF;128;128;255;240°;5O%;100%
Azul cian, cerúleo, o azur (sRGB);;#0080FF;0;128;255;210°;100%;100%
